sms_message,class,label,length
"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",ham,0,168
So what do you guys do.,ham,0,23
Oh just getting even with u.... u?,ham,0,34
Ok lor wat time ü finish?,ham,0,25
"Well, I meant as opposed to my drunken night of before",ham,0,54
Cos i want it to be your thing,ham,0,30
Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,ham,0,80
East coast,ham,0,10
I will send them to your email. Do you mind  &lt;#&gt;  times per night?,ham,0,72
"Yeah, probably here for a while",ham,0,31
Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),ham,0,90
"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X",ham,0,159
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,ham,0,119
"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",ham,0,153
Ok no prob. Take ur time.,ham,0,25
A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,ham,0,114
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham,0,92
"Thanks da thangam, i feel very very happy dear. I also miss you da.",ham,0,67
I'm okay. Chasing the dream. What's good. What are you doing next.,ham,0,66
Ya but it cant display internal subs so i gotta extract them,ham,0,60
They did't play one day last year know even though they have very good team.. Like india.,ham,0,89
"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....""",ham,0,141
Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,ham,0,95
Yes... I trust u to buy new stuff ASAP so I can try it out,ham,0,58
I am taking half day leave bec i am not well,ham,0,44
In which place do you want da.,ham,0,30
"If we hit it off, you can move in with me :)",ham,0,44
U wake up already? Thanx 4 e tau sar piah it's quite nice.,ham,0,58
Pls call me da. What happen.,ham,0,28
Sday only joined.so training we started today:),ham,0,47
"Haha awesome, be there in a minute",ham,0,34
Reckon need to be in town by eightish to walk from * carpark.,ham,0,61
have you ever had one foot before?,ham,0,34
Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,ham,0,107
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",ham,0,99
Yes. It's all innocent fun. O:-),ham,0,32
Mm umma ask vava also to come tell him can play later together,ham,0,62
You tell what happen dont behave like this to me. Ok no need to say,ham,0,67
Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,ham,0,91
Can... I'm free...,ham,0,18
K I'll call you when I'm close,ham,0,30
"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",ham,0,148
Wherre's my boytoy ? :-(,ham,0,24
Happy birthday to you....dear.with lots of love.rakhesh NRI,ham,0,59
Play w computer? Aiyah i tok 2 u lor?,ham,0,37
You still at grand prix?,ham,0,24
It is only yesterday true true.,ham,0,31
Sorry i missed your call. Can you please call back.,ham,0,51
Goodmorning sleeping ga.,ham,0,24
My friends use to call the same.,ham,0,32
Id onluy matters when getting on from offcampus,ham,0,47
I called and said all to him:)then he have to choose this future.,ham,0,65
Just curious because my cuz asked what I was up to,ham,0,50
"Awesome, I'll see you in a bit",ham,0,30
If You mean the website. Yes.,ham,0,29
Onum ela pa. Normal than.,ham,0,25
"It's that time of the week again, ryan",ham,0,38
V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,ham,0,149
"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",ham,0,133
Quite lor. But dun tell him wait he get complacent...,ham,0,53
Anything lar...,ham,0,15
* Thought I didn't see you.,ham,0,27
Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,ham,0,143
Then why no one talking to me,ham,0,29
Went to ganesh dress shop,ham,0,25
Ya had just now.onion roast.,ham,0,28
U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,ham,0,91
Well she's in for a big surprise!,ham,0,33
"Didn't try, g and I decided not to head out",ham,0,43
Huh y lei...,ham,0,12
So when do you wanna gym harri,ham,0,30
Shall i send that exe to your mail id.,ham,0,38
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,ham,0,94
Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),ham,0,166
No da if you run that it activate the full version da.,ham,0,54
Hey you around? I've got enough for a half + the ten I owe you,ham,0,62
Have you always been saying welp?,ham,0,33
"Yo, you around? Just got my car back",ham,0,36
Haha okay... Today weekend leh... ,ham,0,34
No dear i was sleeping :-P,ham,0,26
They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,ham,0,112
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,ham,0,141
Neshanth..tel me who r u?,ham,0,25
"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",ham,0,128
Love it! I want to flood that pretty pussy with cum...,ham,0,54
No. Did you multimedia message them or e-mail?,ham,0,46
That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,ham,0,94
Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),ham,0,65
You're gonna have to be way more specific than that,ham,0,51
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",ham,0,86
Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,ham,0,134
Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,ham,0,147
Did u see what I posted on your Facebook?,ham,0,41
"Haha I heard that, text me when you're around",ham,0,45
"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",ham,0,125
You need to get up. Now.,ham,0,24
Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,ham,0,137
Black shirt n blue jeans... I thk i c ü...,ham,0,42
I'm fine. Hope you are good. Do take care.,ham,0,42
Convey my regards to him,ham,0,24
4 oclock at mine. Just to bash out a flat plan.,ham,0,47
how are you? I miss you!,ham,0,24
Can. Dunno wat to get 4 her...,ham,0,30
How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,ham,0,82
"Aight, we'll head out in a few",ham,0,30
It should take about  &lt;#&gt;  min,ham,0,36
Well there's still a bit left if you guys want to tonight,ham,0,57
This is my number by vivek..,ham,0,28
New car and house for my parents.:)i have only new job in hand:),ham,0,64
I hope your pee burns tonite.,ham,0,29
Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),ham,0,127
Pls come quick cant bare this.,ham,0,30
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,ham,0,69
Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,ham,0,103
"Better than bb. If he wont use it, his wife will or them doctor",ham,0,63
Do you work all this week ?,ham,0,27
Yeah that's the impression I got,ham,0,32
"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",ham,0,85
"K, wait chikku..il send aftr  &lt;#&gt; mins",ham,0,44
We have to pick rayan macleran there.,ham,0,37
Hey i've booked the pilates and yoga lesson already... Haha,ham,0,59
Ha ha - had popped down to the loo when you hello-ed me. Hello!,ham,0,63
", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",ham,0,169
Lol alright i was thinkin that too haha,ham,0,39
Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),ham,0,156
All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,ham,0,95
"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)",ham,0,180
"I want to show you the world, princess :) how about europe?",ham,0,59
You got called a tool?,ham,0,22
Yo sorry was in the shower sup,ham,0,30
There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,ham,0,247
Ü go home liao? Ask dad to pick me up at 6...,ham,0,45
Thinkin about someone is all good. No drugs for that,ham,0,52
i felt so...not any conveying reason.. Ese he... What about me?,ham,0,63
Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,ham,0,183
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,ham,0,86
"What do u reckon as need 2 arrange transport if u can't do it, thanks",ham,0,69
I tot u reach liao. He said t-shirt.,ham,0,36
Ya it came a while ago,ham,0,22
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",ham,0,159
I attended but nothing is there.,ham,0,32
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,ham,0,119
Auntie huai juan never pick up her phone,ham,0,40
"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",ham,0,69
Ok no prob,ham,0,10
How do you guys go to see movies on your side.,ham,0,46
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,ham,0,193
That depends. How would you like to be treated? :),ham,0,50
Huh means computational science... Y they like dat one push here n there...,ham,0,75
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.",ham,0,157
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham,0,104
Yes i have. So that's why u texted. Pshew...missing you so much,ham,0,63
Do you know where my lab goggles went,ham,0,37
Ü predict wat time ü'll finish buying?,ham,0,38
Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,ham,0,133
"I dont knw pa, i just drink milk..",ham,0,34
"Found it, ENC  &lt;#&gt; , where you at?",ham,0,40
Guess who spent all last night phasing in and out of the fourth dimension,ham,0,73
I know that my friend already told that.,ham,0,40
"Aight, sounds good. When do you want me to come down?",ham,0,53
"K I'll head out in a few mins, see you there",ham,0,44
Its sunny in california. The weather's just cool,ham,0,48
I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!,ham,0,205
"I shall book chez jules for half eight, if that's ok with you?",ham,0,62
"Cool, text me when you head out",ham,0,31
They just talking thats it de. They wont any other.,ham,0,51
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,0,81
At WHAT TIME should i come tomorrow,ham,0,35
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,0,136
yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,ham,0,142
Ok ill send you with in  &lt;DECIMAL&gt;  ok.,ham,0,45
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham,0,72
Lol ... I knew that .... I saw him in the dollar store,ham,0,54
I borrow ur bag ok.,ham,0,19
Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. ,ham,0,111
You getting back any time soon?,ham,0,31
Geeeee ... I love you so much I can barely stand it,ham,0,51
Why you Dint come with us.,ham,0,26
Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,ham,0,235
"Sorry sir, i will call you tomorrow.  senthil.hsbc",ham,0,50
"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",ham,0,224
Ok i am on the way to home hi hi,ham,0,32
... Are you in the pub?,ham,0,23
Can you say what happen,ham,0,23
What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,ham,0,104
"Haha get used to driving to usf man, I know a lot of stoners",ham,0,60
Please da call me any mistake from my side sorry da. Pls da goto doctor.,ham,0,72
"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",ham,0,56
Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,ham,0,208
K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,ham,0,78
Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,ham,0,82
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham,0,159
Oh is it? Send me the address,ham,0,29
Wewa is 130. Iriver 255. All 128 mb.,ham,0,36
Must come later.. I normally bathe him in da afternoon mah..,ham,0,60
Missing you too.pray inshah allah,ham,0,33
"Sorry, I can't help you on this.",ham,0,32
"Not sure yet, still trying to get a hold of him",ham,0,47
"Hiya, had a good day? Have you spoken to since the weekend?",ham,0,59
Hi good mornin.. Thanku wish u d same..,ham,0,39
Yes da. Any plm at ur office,ham,0,28
I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,ham,0,84
All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,ham,0,89
Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,ham,0,77
"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO",ham,0,159
Ü ready then call me...,ham,0,23
Man this bus is so so so slow. I think you're gonna get there before me,ham,0,71
How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,ham,0,134
"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.",ham,0,198
Ü all write or wat..,ham,0,20
What time do u get out?,ham,0,23
My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,ham,0,104
Are you comingdown later?,ham,0,25
No. Yes please. Been swimming?,ham,0,30
Just do what ever is easier for you,ham,0,35
"No, but you told me you were going, before you got drunk!",ham,0,57
We left already we at orchard now.,ham,0,34
Call me when u finish then i come n pick u.,ham,0,43
Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,ham,0,108
"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!",ham,0,171
Mathews or tait or edwards or anderson,ham,0,38
But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,ham,0,71
Aight should I just plan to come up later tonight?,ham,0,50
"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",ham,0,322
Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,ham,0,98
I dont know exactly could you ask chechi.,ham,0,41
I am great princess! What are you thinking about me? :),ham,0,55
Hey so whats the plan this sat? ,ham,0,32
Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,ham,0,115
Oh k:)after that placement there ah?,ham,0,36
This single single answers are we fighting? Plus i said am broke and you didnt reply,ham,0,84
Your pussy is perfect!,ham,0,22
Is ur paper today in e morn or aft?,ham,0,35
Thanx a lot...,ham,0,14
You will go to walmart. I.ll stay.,ham,0,34
"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe",ham,0,327
HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,ham,0,62
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",ham,0,107
"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj",ham,0,154
I'm in inside office..still filling forms.don know when they leave me.,ham,0,70
We're on the opposite side from where we dropped you off,ham,0,56
"Sounds good, keep me posted",ham,0,27
Carlos says we can pick up from him later so yeah we're set,ham,0,59
"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",ham,0,144
Okey dokey swashbuckling stuff what oh.,ham,0,39
"Alright, we're all set here, text the man",ham,0,41
Well i will watch shrek in 3D!!B),ham,0,33
Yes:)sura in sun tv.:)lol.,ham,0,26
"Call me da, i am waiting for your call.",ham,0,39
Shuhui has bought ron's present it's a swatch watch...,ham,0,54
Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,ham,0,78
"What will we do in the shower, baby?",ham,0,36
Finally the match heading towards draw as your prediction.,ham,0,58
Nan sonathaya soladha. Why boss?,ham,0,32
Anything...,ham,0,11
I'm home...,ham,0,11
"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",ham,0,144
"Just arrived, see you in a couple days &lt;3",ham,0,44
Nobody can decide where to eat and dad wants Chinese,ham,0,52
I want to lick your pussy now...,ham,0,32
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,ham,0,160
Excellent! Are you ready to moan and scream in ecstasy?,ham,0,55
Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,ham,0,143
o turns out i had stereo love on mi phone under the unknown album.,ham,0,66
Yeah confirmed for you staying at  that weekend,ham,0,47
Its normally hot mail. Com you see!,ham,0,35
Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham,0,65
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,0,76
I went to ur hon lab but no one is there.,ham,0,41
That's significant but dont worry.,ham,0,34
K I'll be there before 4.,ham,0,25
She's fine. Good to hear from you. How are you my dear? Happy new year oh.,ham,0,74
"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",ham,0,158
Huh so fast... Dat means u havent finished painting?,ham,0,52
"Ask g or iouri, I've told the story like ten times already",ham,0,58
Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,ham,0,183
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham,0,84
Oh Howda gud gud.. Mathe en samachara chikku:-),ham,0,47
Don know..he is watching film in computer..,ham,0,43
Dai i downloaded but there is only exe file which i can only run that exe after installing.,ham,0,91
Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,ham,0,94
Yup but it's not giving me problems now so mayb i'll jus leave it...,ham,0,68
Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,ham,0,146
Idea will soon get converted to live:),ham,0,38
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",ham,0,97
A bloo bloo bloo I'll miss the first bowl,ham,0,41
I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave... ,ham,0,83
I'm not sure if its still available though,ham,0,42
Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,ham,0,152
Go where n buy? Juz buy when we get there lar.,ham,0,46
"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",ham,0,111
K.k:)when are you going?,ham,0,24
"idc get over here, you are not weaseling your way out of this shit twice in a row",ham,0,81
am up to my eyes in philosophy,ham,0,30
X2  &lt;#&gt; . Are you going to get that,ham,0,41
"I'm back, lemme know when you're ready",ham,0,38
"I didnt get ur full msg..sometext is missing, send it again",ham,0,59
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,ham,0,160
Well. Im computerless. Time to make some oreo truffles,ham,0,54
Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,ham,0,96
Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx,ham,0,128
See the forwarding message for proof,ham,0,36
Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.,ham,0,92
How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already …,ham,0,122
"I can probably come by, everybody's done around  &lt;#&gt;  right?",ham,0,66
No..its ful of song lyrics..,ham,0,28
Speak only when you feel your words are better than the silence... Gud mrng:-),ham,0,78
Ard 6 like dat lor.,ham,0,19
"Tonight? Yeah, I'd be down for that",ham,0,35
PS U no ur a grown up now right?,ham,0,32
U studying in sch or going home? Anyway i'll b going 2 sch later.,ham,0,65
V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),ham,0,127
K tell me anything about you.,ham,0,29
Alex says he's not ok with you not being ok with it,ham,0,51
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",ham,0,127
S but mostly not like that.,ham,0,27
You'd like that wouldn't you? Jerk!,ham,0,35
Not..tel software name..,ham,0,24
Me too baby! I promise to treat you well! I bet you will take good care of me...,ham,0,80
If I get there before you after your ten billion calls and texts so help me god,ham,0,79
"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",ham,0,159
"Awesome, that gonna be soon or later tonight?",ham,0,45
You want to go? ,ham,0,16
He is world famamus....,ham,0,23
Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,ham,0,103
She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,ham,0,257
His bday real is in april .,ham,0,27
Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,ham,0,134
But if she.s drinkin i'm ok.,ham,0,28
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",ham,0,155
You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,ham,0,237
Sorry i'm not free...,ham,0,21
"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",ham,0,202
Doing project w frens lor. ,ham,0,27
R u meeting da ge at nite tmr?,ham,0,30
If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,ham,0,116
"Just sent you an email – to an address with incomm in it, is that right?",ham,0,72
"Alright omw, gotta change my order to a half8th",ham,0,47
Are you at work right now ?,ham,0,27
Quite late lar... Ard 12 anyway i wun b drivin...,ham,0,49
"Yeah, where's your class at?",ham,0,28
"K, I'll work something out",ham,0,26
Sleeping nt feeling well,ham,0,24
Sir send to group mail check it.,ham,0,32
* Am on a train back from northampton so i'm afraid not!,ham,0,56
"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",ham,0,135
And stop being an old man. You get to build snowman snow angels and snowball fights.,ham,0,84
Hi Petey!noim ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x,ham,0,124
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",ham,0,178
It's ok i wun b angry. Msg u aft i come home tonight.,ham,0,53
Hui xin is in da lib.,ham,0,21
"Aight, call me once you're close",ham,0,32
Oh :-)only 4 outside players allowed to play know,ham,0,49
"Ok da, i already planned. I wil pick you.",ham,0,41
